ALL ACTORS	Libretto	Song	ACT
MULLIGAN,MADISON,LAFAYETTE,JEFFERSON	We fought with him	Alexander Hamilton	1
LAURENS,PHILIP	Me? I died for him	Alexander Hamilton	1
ELIZA,ANGELICA,PEGGY,MARIA	Me? I loved him	Alexander Hamilton	1
LAURENS,LAFAYETTE,MULLIGAN	Show time!	Aaron Burr, Sir	1
LAFAYETTE,LAURENS	Ayyyyy	Aaron Burr, Sir	1
LAURENS,LAFAYETTE,MULLIGAN	To the revolution!	Aaron Burr, Sir	1
LAFAYETTE,MULLIGAN	Boooo!	Aaron Burr, Sir	1
MULLIGAN,LAFAYETTE,LAURENS	Ooh, who is this kid? What's he gonna do?	Aaron Burr, Sir	1
HAMILTON,LAFAYETTE,MULLIGAN,LAURENS	A-L-E-X-A-N-D	My Shot	1
HAMILTON,LAFAYETTE,MULLIGAN,LAURENS	E-R-we are-meant to be...	My Shot	1
LAFAYETTE,MULLIGAN,LAURENS	(He says in parentheses)	My Shot	1
HAMILTON,MULLIGAN,LAURENS,LAFAYETTE	I am not throwing away my shot	My Shot	1
HAMILTON,MULLIGAN,LAURENS,LAFAYETTE	I am not throwing away my shot	My Shot	1
HAMILTON,MULLIGAN,LAURENS,LAFAYETTE	Hey yo, I'm just like my country	My Shot	1
HAMILTON,MULLIGAN,LAURENS,LAFAYETTE	I'm young, scrappy and hungry	My Shot	1
HAMILTON,MULLIGAN,LAURENS,LAFAYETTE	And I'm not throwing away my shot	My Shot	1
HAMILTON,MULLIGAN,LAURENS,LAFAYETTE	It's time to take a shot!	My Shot	1
HAMILTON,LAURENS,LAFAYETTE,MULLIGAN	Shot!	My Shot	1
HAMILTON,LAURENS,LAFAYETTE,MULLIGAN	Shot!	My Shot	1
HAMILTON,LAURENS,LAFAYETTE,MULLIGAN	Shot!	My Shot	1
HAMILTON,LAURENS,LAFAYETTE,MULLIGAN,ENSEMBLE	I am not throwing away my shot	My Shot	1
HAMILTON,LAURENS,LAFAYETTE,MULLIGAN,ENSEMBLE	I am not throwing away my shot	My Shot	1
HAMILTON,LAURENS,LAFAYETTE,MULLIGAN,ENSEMBLE	Hey yo, I'm just like my country	My Shot	1
HAMILTON,LAURENS,LAFAYETTE,MULLIGAN,ENSEMBLE	I'm young, scrappy and hungry	My Shot	1
HAMILTON,LAURENS,LAFAYETTE,MULLIGAN,ENSEMBLE	And I'm not throwing away my shot	My Shot	1
