Source,Target,Type
MULLIGAN,MADISON,sameActor
MULLIGAN,LAFAYETTE,twoCharacters
MULLIGAN,JEFFERSON,twoCharacters
MADISON,LAFAYETTE,twoCharacters
MADISON,JEFFERSON,twoCharacters
LAFAYETTE,JEFFERSON,sameActor
LAURENS,PHILIP,sameActor
ELIZA,ANGELICA,twoCharacters
ELIZA,PEGGY,twoCharacters
ELIZA,MARIA,twoCharacters
ANGELICA,PEGGY,twoCharacters
ANGELICA,MARIA,twoCharacters
PEGGY,MARIA,sameActor
LAURENS,LAFAYETTE,twoCharacters
LAURENS,MULLIGAN,twoCharacters
LAFAYETTE,MULLIGAN,twoCharacters
LAFAYETTE,LAURENS,twoCharacters
LAURENS,LAFAYETTE,twoCharacters
LAURENS,MULLIGAN,twoCharacters
LAFAYETTE,MULLIGAN,twoCharacters
LAFAYETTE,MULLIGAN,twoCharacters
MULLIGAN,LAFAYETTE,twoCharacters
MULLIGAN,LAURENS,twoCharacters
LAFAYETTE,LAURENS,twoCharacters
HAMILTON,LAFAYETTE,twoCharacters
HAMILTON,MULLIGAN,twoCharacters
HAMILTON,LAURENS,twoCharacters
LAFAYETTE,MULLIGAN,twoCharacters
LAFAYETTE,LAURENS,twoCharacters
MULLIGAN,LAURENS,twoCharacters
LAFAYETTE,MULLIGAN,twoCharacters
LAFAYETTE,LAURENS,twoCharacters
MULLIGAN,LAURENS,twoCharacters
HAMILTON,MULLIGAN,twoCharacters
HAMILTON,LAURENS,twoCharacters
HAMILTON,LAFAYETTE,twoCharacters
MULLIGAN,LAURENS,twoCharacters
MULLIGAN,LAFAYETTE,twoCharacters
LAURENS,LAFAYETTE,twoCharacters
HAMILTON,LAURENS,twoCharacters
HAMILTON,LAFAYETTE,twoCharacters
HAMILTON,MULLIGAN,twoCharacters
LAURENS,LAFAYETTE,twoCharacters
LAURENS,MULLIGAN,twoCharacters
LAFAYETTE,MULLIGAN,twoCharacters
HAMILTON,LAURENS,twoCharacters
HAMILTON,LAFAYETTE,twoCharacters
HAMILTON,MULLIGAN,twoCharacters
LAURENS,LAFAYETTE,twoCharacters
LAURENS,MULLIGAN,twoCharacters
LAFAYETTE,MULLIGAN,twoCharacters
HAMILTON,LAURENS,twoCharacters
HAMILTON,LAFAYETTE,twoCharacters
HAMILTON,MULLIGAN,twoCharacters
LAURENS,LAFAYETTE,twoCharacters
LAURENS,MULLIGAN,twoCharacters
LAFAYETTE,MULLIGAN,twoCharacters
HAMILTON,LAURENS,twoCharacters
HAMILTON,LAFAYETTE,twoCharacters
HAMILTON,MULLIGAN,twoCharacters
HAMILTON,ENSEMBLE,group
LAURENS,LAFAYETTE,twoCharacters
LAURENS,MULLIGAN,twoCharacters
LAURENS,ENSEMBLE,group
LAFAYETTE,MULLIGAN,twoCharacters
LAFAYETTE,ENSEMBLE,group
MULLIGAN,ENSEMBLE,group
HAMILTON,LAFAYETTE,twoCharacters
HAMILTON,MULLIGAN,twoCharacters
LAFAYETTE,MULLIGAN,twoCharacters
LAURENS,ENSEMBLE,group
HAMILTON,COMPANY,group
HAMILTON,LAURENS,twoCharacters
HAMILTON,LAFAYETTE,twoCharacters
HAMILTON,MULLIGAN,twoCharacters
LAURENS,LAFAYETTE,twoCharacters
LAURENS,MULLIGAN,twoCharacters
LAFAYETTE,MULLIGAN,twoCharacters
HAMILTON,LAFAYETTE,twoCharacters
HAMILTON,LAURENS,twoCharacters
HAMILTON,MULLIGAN,twoCharacters
LAFAYETTE,LAURENS,twoCharacters
LAFAYETTE,MULLIGAN,twoCharacters
LAURENS,MULLIGAN,twoCharacters
HAMILTON,LAFAYETTE,twoCharacters
HAMILTON,MULLIGAN,twoCharacters
HAMILTON,LAURENS,twoCharacters
LAFAYETTE,MULLIGAN,twoCharacters
LAFAYETTE,LAURENS,twoCharacters
MULLIGAN,LAURENS,twoCharacters
LAFAYETTE,MULLIGAN,twoCharacters
LAFAYETTE,LAURENS,twoCharacters
MULLIGAN,LAURENS,twoCharacters
LAFAYETTE,MULLIGAN,twoCharacters
LAFAYETTE,LAURENS,twoCharacters
MULLIGAN,LAURENS,twoCharacters
LAFAYETTE,MULLIGAN,twoCharacters
LAFAYETTE,LAURENS,twoCharacters
MULLIGAN,LAURENS,twoCharacters
LAURENS,MULLIGAN,twoCharacters
MULLIGAN,LAFAYETTE,twoCharacters
MULLIGAN,LAURENS,twoCharacters
LAFAYETTE,LAURENS,twoCharacters
LAURENS,MULLIGAN,twoCharacters
LAURENS,LAFAYETTE,twoCharacters
MULLIGAN,LAFAYETTE,twoCharacters
MULLIGAN,LAFAYETTE,twoCharacters
HAMILTON,LAURENS,twoCharacters
HAMILTON,MULLIGAN,twoCharacters
HAMILTON,LAFAYETTE,twoCharacters
LAURENS,MULLIGAN,twoCharacters
LAURENS,LAFAYETTE,twoCharacters
MULLIGAN,LAFAYETTE,twoCharacters
HAMILTON,LAURENS,twoCharacters
MULLIGAN,LAFAYETTE,twoCharacters
HAMILTON,LAURENS,twoCharacters
HAMILTON,ENSEMBLE,group
LAURENS,ENSEMBLE,group
MULLIGAN,LAFAYETTE,twoCharacters
MULLIGAN,ENSEMBLE,group
LAFAYETTE,ENSEMBLE,group
ELIZA,PEGGY,twoCharacters
ANGELICA,ELIZA,twoCharacters
ANGELICA,PEGGY,twoCharacters
ANGELICA,COMPANY,group
ELIZA,PEGGY,twoCharacters
ELIZA,COMPANY,group
PEGGY,COMPANY,group
ANGELICA,MEN,group
ELIZA,ANGELICA,twoCharacters
ELIZA,PEGGY,twoCharacters
ANGELICA,PEGGY,twoCharacters
ELIZA,ANGELICA,twoCharacters
ELIZA,PEGGY,twoCharacters
ANGELICA,PEGGY,twoCharacters
ELIZA,PEGGY,twoCharacters
ELIZA,ANGELICA,twoCharacters
ELIZA,PEGGY,twoCharacters
ANGELICA,PEGGY,twoCharacters
ANGELICA,ELIZA,twoCharacters
ANGELICA,PEGGY,twoCharacters
ANGELICA,COMPANY,group
ELIZA,PEGGY,twoCharacters
ELIZA,COMPANY,group
PEGGY,COMPANY,group
ANGELICA,ELIZA,twoCharacters
ANGELICA,PEGGY,twoCharacters
ELIZA,PEGGY,twoCharacters
ELIZA,PEGGY,twoCharacters
ELIZA,PEGGY,twoCharacters
ANGELICA,ELIZA,twoCharacters
ANGELICA,PEGGY,twoCharacters
ELIZA,PEGGY,twoCharacters
ELIZA,PEGGY,twoCharacters
SEABURY,HAMILTON,twoCharacters
HAMILTON,BURR,twoCharacters
HAMILTON,MULLIGAN,twoCharacters
HAMILTON,LAURENS,twoCharacters
HAMILTON,LAFAYETTE,twoCharacters
BURR,MULLIGAN,twoCharacters
BURR,LAURENS,twoCharacters
BURR,LAFAYETTE,twoCharacters
MULLIGAN,LAURENS,twoCharacters
MULLIGAN,LAFAYETTE,twoCharacters
LAURENS,LAFAYETTE,twoCharacters
HAMILTON,BURR,twoCharacters
HAMILTON,MULLIGAN,twoCharacters
HAMILTON,LAURENS,twoCharacters
HAMILTON,LAFAYETTE,twoCharacters
BURR,MULLIGAN,twoCharacters
BURR,LAURENS,twoCharacters
BURR,LAFAYETTE,twoCharacters
MULLIGAN,LAURENS,twoCharacters
MULLIGAN,LAFAYETTE,twoCharacters
LAURENS,LAFAYETTE,twoCharacters
HAMILTON,BURR,twoCharacters
HAMILTON,MULLIGAN,twoCharacters
HAMILTON,LAURENS,twoCharacters
HAMILTON,LAFAYETTE,twoCharacters
BURR,MULLIGAN,twoCharacters
BURR,LAURENS,twoCharacters
BURR,LAFAYETTE,twoCharacters
MULLIGAN,LAURENS,twoCharacters
MULLIGAN,LAFAYETTE,twoCharacters
LAURENS,LAFAYETTE,twoCharacters
HAMILTON,BURR,twoCharacters
HAMILTON,MULLIGAN,twoCharacters
HAMILTON,LAURENS,twoCharacters
HAMILTON,LAFAYETTE,twoCharacters
BURR,MULLIGAN,twoCharacters
